,ID,DateTime,CurrentVelocity,AllowedVelocity,EmergencyStopLimit
27151833,17021630,2021-05-02 12:15:04,0,0,0
27151834,17021631,2021-05-02 12:15:05,0,0,0
27151835,17021632,2021-05-02 12:15:06,0,0,0
27151836,17021633,2021-05-02 12:15:07,0,0,0
27151837,17021634,2021-05-02 12:15:08,0,0,0
27151838,17021635,2021-05-02 12:15:09,0,0,0
27151839,17021636,2021-05-02 12:15:10,0,0,0
27151840,17021637,2021-05-02 12:15:11,0,0,0
27151841,17021638,2021-05-02 12:15:12,0,0,0
27151842,17021639,2021-05-02 12:15:13,0,0,0
27151843,17021640,2021-05-02 12:15:14,0,0,0
27151844,17021641,2021-05-02 12:15:15,0,0,0
27151845,17021642,2021-05-02 12:15:16,0,0,0
27151846,17021643,2021-05-02 12:15:17,0,0,0
27151847,17021644,2021-05-02 12:15:18,0,0,0
27151848,17021645,2021-05-02 12:15:19,0,0,0
27151849,17021646,2021-05-02 12:15:20,0,0,0
27151850,17021647,2021-05-02 12:15:21,0,0,0
27151851,17021648,2021-05-02 12:15:22,0,0,0
27151852,17021649,2021-05-02 12:15:23,0,0,0
27151853,17021650,2021-05-02 12:15:24,0,0,0
27151854,17021651,2021-05-02 12:15:25,0,0,0
27151855,17021652,2021-05-02 12:15:26,0,0,0
27151856,17021653,2021-05-02 12:15:27,0,0,0
27151857,17021654,2021-05-02 12:15:28,0,0,0
27151858,17021655,2021-05-02 12:15:29,0,0,0
27151859,17021656,2021-05-02 12:15:30,0,0,0
27151860,17021657,2021-05-02 12:15:31,0,0,0
27151861,17021658,2021-05-02 12:15:32,0,0,0
27151862,17021659,2021-05-02 12:15:33,0,0,0
27151863,17021660,2021-05-02 12:15:34,0,0,0
27151864,17021661,2021-05-02 12:15:35,0,0,0
27151865,17021662,2021-05-02 12:15:36,0,0,0
27151866,17021663,2021-05-02 12:15:37,0,0,0
27151867,17021664,2021-05-02 12:15:38,0,0,0
27151868,17021665,2021-05-02 12:15:39,0,0,0
27151869,17021666,2021-05-02 12:15:40,0,0,0
27151870,17021667,2021-05-02 12:15:41,0,0,0
27151871,17021668,2021-05-02 12:15:42,0,0,0
27151872,17021669,2021-05-02 12:15:43,0,0,0
27151873,17021670,2021-05-02 12:15:44,0,0,0
27151874,17021671,2021-05-02 12:15:45,0,0,0
27151875,17021672,2021-05-02 12:15:46,0,0,0
27151876,17021673,2021-05-02 12:15:47,0,0,0
27151877,17021674,2021-05-02 12:15:48,0,0,0
27151878,17021675,2021-05-02 12:15:49,0,0,0
27151879,17021676,2021-05-02 12:15:50,0,0,0
27151880,17021677,2021-05-02 12:15:51,0,0,0
27151881,17021678,2021-05-02 12:15:52,0,0,0
27151882,17021679,2021-05-02 12:15:53,0,0,0
27151883,17021680,2021-05-02 12:15:54,0,0,0
27151884,17021681,2021-05-02 12:15:55,0,0,0
